"projectID","projectAcronym","name","country","city","role","activityType","SME","ecContribution","netEcContribution","totalCost","geolocation"
101037090,"ALTERNATIVE","MICROFLUIDICS INNOVATION CENTER","FR","Paris","participant","PRC","TRUE","91646.56","91646.56","91646.56","48.8560623,2.3931125"
101037090,"ALTERNATIVE","POLITECNICO DI TORINO","IT","Torino","coordinator","HES","false","592300","592300","592300","45.0626528,7.6618159"
101037090,"ALTERNATIVE","UNIVERSITEIT UTRECHT","NL","Utrecht","participant","HES","false","362500","362500","362500","52.0851807,5.1754514"
101037090,"ALTERNATIVE","FUNDACIO EURECAT","ES","Cerdanyola Del Valles (Barcelona)","participant","REC","false","1439437.5","1439437.5","1439437.5","41.4910324,2.1374969"
101037090,"ALTERNATIVE","SI ES TI EOOD","BG","Svilengrad","participant","PRC","false","198750","198750","198750","42.6073975,25.4856617"
101037090,"ALTERNATIVE","SCIENSANO","BE","Elsene","participant","REC","false","460051","460051","460051","50.82433,4.3817642"
964497,"ENLIGHT","ASTRAZENECA AB","SE","Sodertaelje","participant","PRC","false","278000","278000","278000","59.2030706,17.6236146"
964497,"ENLIGHT","UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II","IT","Napoli","participant","HES","false","570000","570000","570000","40.9148194,14.3511247"
964497,"ENLIGHT","ROUSSELOT","BE","Gent","participant","PRC","false","257015","257015","257015","51.2016076,3.2334039"
964497,"ENLIGHT","ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE","CH","Lausanne","participant","HES","false","250000","250000","250000","46.5218269,6.6327025"
964497,"ENLIGHT","FONDAZIONE GIANNINO BASSETTI ETS","IT","Milano","participant","REC","false","40000","40000","40000","45.4698524,9.2027289"
964497,"ENLIGHT","UNIVERSITAIR MEDISCH CENTRUM UTRECHT","NL","Utrecht","coordinator","HES","false","1012410","1012410","1012410","52.0860132,5.1796596"
964497,"ENLIGHT","EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH","CH","Zuerich","participant","HES","false","700000","700000","700000","47.3764534,8.54770931489751"
964497,"ENLIGHT","READILY3D SA","CH","Lausanne","participant","PRC","TRUE","487500","487500","487500","46.5225695,6.580950497654294"
953201,"GUTVIBRATIONS","KUNGLIGA TEKNISKA HOEGSKOLAN","SE","Stockholm","participant","HES","false","590000","590000","0","59.3498183,18.0707826"
